날짜,총자산
2026-01-26,100000.0
2026-01-27,101150.19954681396
2026-01-28,101150.19954681396
2026-01-29,101150.19954681396
2026-01-30,101150.19954681396
2026-02-02,101954.95861053467
2026-02-03,101954.95861053467
2026-02-04,99912.4080657959
2026-02-05,99944.02878952026
2026-02-06,104423.52878952026
2026-02-09,105004.92847824097
2026-02-10,105004.92847824097
2026-02-11,106276.62926101685
2026-02-12,106276.62926101685
2026-02-13,106655.0887184143
2026-02-17,106594.12926101685
2026-02-18,107606.81053543091
2026-02-19,107606.81053543091
2026-02-20,108097.489818573
2026-02-23,108097.489818573
2026-02-24,108786.34934616089
2026-02-25,108786.34934616089
2026-02-26,108786.34934616089
2026-02-27,108166.9803390503
2026-03-02,108161.83924102783
2026-03-03,103361.07916259766
2026-03-04,105914.67977142334
2026-03-05,104979.19992828369
2026-03-06,99250.81005477905
2026-03-09,105517.0304069519
2026-03-10,106569.86078643799
2026-03-11,107451.86078643799
2026-03-12,105621.71035385132
2026-03-13,105900.23189926147
2026-03-16,107780.24025726318
2026-03-17,108177.14093017578
2026-03-18,108177.14093017578
2026-03-19,108446.06028747559
2026-03-20,107244.02058410645
2026-03-23,108468.74018859863
2026-03-24,109094.06028747559
2026-03-25,109767.9808807373
2026-03-26,109767.9808807373
2026-03-27,108663.50059509277
2026-03-30,102589.63889312744
2026-03-31,114158.87034606934
2026-04-01,116194.66963195801
2026-04-02,116194.66963195801
2026-04-06,116194.66963195801
2026-04-07,116194.66963195801
2026-04-08,116194.66963195801
2026-04-09,116194.66963195801
2026-04-10,116194.66963195801
2026-04-13,116194.66963195801
2026-04-14,116194.66963195801
2026-04-15,116194.66963195801
2026-04-16,116194.66963195801
2026-04-17,116194.66963195801
2026-04-20,116194.66963195801
2026-04-21,116194.66963195801
2026-04-22,116194.66963195801
2026-04-23,116194.66963195801
2026-04-24,116194.66963195801
2026-04-27,116194.66963195801
2026-04-28,114161.65936279297
2026-04-29,116684.66046142578
2026-04-30,118009.13077545166
2026-05-01,118009.13077545166
2026-05-04,118009.13077545166
2026-05-05,120400.97086334229
2026-05-06,120400.97086334229
2026-05-07,120400.97086334229
2026-05-08,123307.25043487549
2026-05-11,123307.25043487549
2026-05-12,123307.25043487549
2026-05-13,124502.6905593872
2026-05-14,124502.6905593872
2026-05-15,124502.6905593872
2026-05-18,123209.97132110596
2026-05-19,123241.05118560791
2026-05-20,127971.87064361572
2026-05-21,127971.87064361572
2026-05-22,127971.87064361572
2026-05-26,127971.87064361572
2026-05-27,127971.87064361572
2026-05-28,128570.37146759033
2026-05-29,128570.37146759033
2026-06-01,128815.1616897583
2026-06-02,132390.5524673462
2026-06-03,132390.5524673462
2026-06-04,132390.5524673462
2026-06-05,126619.0311050415
2026-06-08,130925.13246917725
2026-06-09,130222.41176605225
2026-06-10,126689.37197113037
2026-06-11,138347.8350906372
2026-06-12,139117.51416778564
2026-06-15,141840.5546951294
2026-06-16,141840.5546951294
2026-06-17,142461.82454681396
2026-06-18,142461.82454681396
2026-06-22,142461.82454681396
2026-06-23,142461.82454681396
2026-06-24,142326.77521514893
2026-06-25,146220.53408050537
2026-06-26,146220.53408050537
2026-06-29,148040.5739212036
2026-06-30,148040.5739212036
2026-07-01,148040.5739212036
2026-07-02,144937.6937637329
